summonerId,summonerName,enemyMissingPings,matchCount
84VVGgzV4BLZK14tauujMnKFgb9rL1Mq26hGqtbUw1sUoQ,아군죽이는정글러,23,1
OIeT8gd0OfSrVFAJfU31VPm6crgLCFb4Lp11spTu-MyG4yA,혁구의 왼팔,23,1
AzLaAYVNnbJ9ua-qUxB52yvdC4CW78XV0ja3Q7zDT9D7ouA,MAN22,23,1
1jkkeenxeVudSzGDnIgfbv5bnkuF9DxGS2CVeBz6WSjBSg,사회인1,23,8
nyiTZVJNimWeNG67fn1qYkh0yG7MZFdZKeW_bpQ3Fx5Q3FA,bottom tlqkf,23,1
KpdCB3ulZo5OMv8cbR1Kf9WIUyf1IbYFAfxTOiMT0Bd8PAQ,젤리 좋아해요,23,1
JDmTI-X6q5ZbXRJKIiH0pbSPAmW-62zN5S8eET8_lqSNVReJUTbFX1fjFg,와드열심히지워요,23,1
UB_bGN-l9fqFKJ-3udmQtDeqolYPVcbJOZ9hubyr2pkUrg,LEROY 88,23,1
7GexA5p1Euqq2hYPo64A3t-c41LfmFmDtsynnzy_k1dRu3Md3FSgZZ_9Nw,엘제이구대표,23,1
t83t0QDZ_LdqLdSUR21TVAwsh0UcW9R0xm1S-KVicJovd2M,장애들의협곡,23,1
RhFtit5Hn11nfZotLLLpmQRAFZGqeR6fNPK7poKUeg5WI7E,조남용이올시다,23,1
ZDsHO6N5oNxMGttQTguwut0QbQLf4VM1uOcj4BlX2ZIckqI,벤츠G63,23,1
3gl5WMsraImb_1yYkjKOUs4BgO2VNVHnGggNHjU3dRJnZQ,YangPa와Onion,23,1
lpi9eZxfT97zZvpUowy9m4O24w7jxhmp4dG8XPLSJn3mtw,Elementalist Rux,23,1
